               t         prod_1         prod_2         prod_3         prod_4
5314  425.673370  291576.031250  291566.312500  291567.375000  291565.875000
5315  425.753479  291630.906250  291621.125000  291622.250000  291620.687500
5316  425.833588  291685.843750  291676.000000  291677.156250  291675.562500
5317  425.913696  291740.750000  291730.906250  291731.968750  291730.406250
5318  425.993805  291795.718750  291785.718750  291786.812500  291785.218750
5319  426.073883  291850.593750  291840.625000  291841.625000  291840.156250
5320  426.153992  291905.343750  291895.500000  291896.437500  291895.093750
5321  426.234100  291960.218750  291950.312500  291951.375000  291950.000000
5322  426.314209  292015.031250  292005.187500  292006.156250  292004.906250
5323  426.394318  292069.937500  292060.125000  292060.968750  292059.843750
5324  426.474426  292124.843750  292114.968750  292115.875000  292114.718750
5325  426.554504  292179.687500  292169.843750  292170.687500  292169.625000
5326  426.634613  292234.500000  292224.593750  292225.593750  292224.375000
5327  426.714722  292289.406250  292279.437500  292280.437500  292279.218750
5328  426.794830  292344.250000  292334.281250  292335.281250  292334.093750
5329  426.874939  292399.218750  292389.062500  292390.187500  292388.906250
5330  426.955048  292454.031250  292443.906250  292445.000000  292443.718750
5331  427.035156  292509.000000  292498.718750  292499.875000  292498.625000
5332  427.115234  292563.843750  292553.656250  292554.781250  292553.562500
5333  427.195343  292618.718750  292608.500000  292609.625000  292608.437500
5334  427.275452  292673.562500  292663.375000  292664.437500  292663.312500
5335  427.355560  292728.406250  292718.187500  292719.187500  292718.187500
5336  427.435669  292783.250000  292773.125000  292774.125000  292773.000000
5337  427.515778  292838.093750  292827.937500  292829.000000  292827.875000
5338  427.595886  292893.031250  292882.812500  292883.812500  292882.687500
5339  427.675964  292947.906250  292937.625000  292938.718750  292937.593750
5340  427.756073  293002.781250  292992.500000  292993.593750  292992.437500
5341  427.836182  293057.625000  293047.343750  293048.468750  293047.343750
5342  427.916290  293112.531250  293102.187500  293103.312500  293102.281250
5343  427.996399  293167.500000  293157.093750  293158.187500  293157.125000
5344  428.076508  293222.343750  293211.937500  293213.000000  293212.000000
5345  428.156616  293277.218750  293266.781250  293267.843750  293266.843750
5346  428.236694  293332.125000  293321.656250  293322.656250  293321.687500
5347  428.316803  293387.000000  293376.531250  293377.531250  293376.531250
5348  428.396912  293441.875000  293431.375000  293432.406250  293431.406250
5349  428.477020  293496.812500  293486.281250  293487.281250  293486.281250
5350  428.557129  293551.656250  293541.156250  293542.187500  293541.093750
5351  428.637238  293606.500000  293596.031250  293596.968750  293595.937500
5352  428.717316  293661.343750  293650.875000  293651.875000  293650.812500
5353  428.797424  293716.218750  293705.750000  293706.687500  293705.625000
5354  428.877533  293771.093750  293760.593750  293761.531250  293760.468750
5355  428.957642  293825.937500  293815.437500  293816.406250  293815.343750
5356  429.037750  293880.812500  293870.343750  293871.218750  293870.187500
5357  429.117859  293935.687500  293925.250000  293926.125000  293925.000000
5358  429.197968  293990.500000  293980.125000  293981.000000  293979.875000
5359  429.278046  294045.437500  294034.968750  294035.875000  294034.812500
5360  429.358154  294100.281250  294089.875000  294090.750000  294089.625000
5361  429.438263  294155.125000  294144.718750  294145.718750  294144.468750
5362  429.518372  294209.968750  294199.593750  294200.593750  294199.312500
5363  429.598480  294264.781250  294254.437500  294255.406250  294254.156250
5364  429.678589  294319.750000  294309.343750  294310.218750  294309.000000
5365  429.758698  294374.562500  294364.187500  294365.093750  294363.843750
5366  429.838776  294429.437500  294419.031250  294419.906250  294418.687500
5367  429.918884  294484.250000  294473.875000  294474.781250  294473.531250
5368  429.998993  294539.093750  294528.718750  294529.593750  294528.375000
5369  430.079102  294593.968750  294583.593750  294584.468750  294583.218750
5370  430.159210  294648.843750  294638.531250  294639.312500  294638.125000
5371  430.239319  294703.656250  294693.375000  294694.156250  294692.937500
5372  430.319427  294758.531250  294748.218750  294748.968750  294747.812500
5373  430.399506  294813.375000  294803.062500  294803.875000  294802.687500
5374  430.479614  294868.312500  294857.875000  294858.843750  294857.531250
5375  430.559723  294923.125000  294912.781250  294913.750000  294912.437500
5376  430.639832  294977.968750  294967.593750  294968.531250  294967.250000
5377  430.719940  295032.875000  295022.468750  295023.406250  295022.125000
5378  430.800049  295087.781250  295077.281250  295078.281250  295076.968750
5379  430.880127  295142.593750  295132.187500  295133.187500  295131.843750
